2024-05-30 10:22:09,769 - INFO - ----------自动检测文件版本程序开始----------
2024-05-30 10:22:18,199 - INFO - ---信息初始化设置中---
默认文件包路径：D:\Working_Files\2024年工作文件\20240306文件包更新
已选定检测文件路径：D:/Working_Files/2024年工作文件/20240603湖南神农国油生态QF监督一【组长】
文件自动更新设置(默认打开状态，True为打开，False为关闭)为True，默认文件更新位置为D:/Working_Files/2024年工作文件/20240603湖南神农国油生态QF监督一【组长】\更新文件夹
默认日志文件为“autoCheckFileVersion's_log.txt”

2024-05-30 10:22:18,205 - INFO - 正在解析“文件名”———中鉴认字[2024]25号 关于更新性发布2024年度管理体系文件及表格的通知.pdf
2024-05-30 10:22:18,205 - INFO - 正在解析“文件名”———QESFHEn管理体系认证审核表格清单.xls
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———03-02 在建项目及分场所清单 JL-M-T-19-03-02 修改3.doc
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———03-03 认证产品检验验证要求【FH适用】 JL-M-FH-19-03-03 修改2.doc
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———05 管理体系审核首(末)次会议签到表 JL-M-T-19-05.doc
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———06 审核会议记录 JL-M-T-19-06.doc
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———07 公正性声明及保密承诺 JL-M-T-19-07 修改1.doc
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———08 廉洁自律声明 JL-M-T-19-08-.doc
2024-05-30 10:22:18,206 - INFO - 正在解析“文件名”———10 管理体系文件审查报告 JL-M-T-19-10 修改2.doc
2024-05-30 10:22:18,207 - INFO - 正在解析“文件名”———11 管理体系第一阶段审核计划【一阶段适用】 JL-M-T-19-11 修改2.doc
2024-05-30 10:22:18,207 - INFO - 正在解析“文件名”———13 第一阶段审核问题及纠正措施汇总表【一阶段适用】 JL-M-T-19-13.doc
2024-05-30 10:22:18,208 - INFO - 正在解析“文件名”———15 管理体系审核计划 【二阶段监督再认证通用】JL-M-T-19-15 修改2.doc
2024-05-30 10:22:18,208 - INFO - 正在解析“文件名”———15-02 管理体系审核计划【补充审核适用】JL-M-T-19-15-02 修改2.doc
2024-05-30 10:22:18,208 - INFO - 正在解析“文件名”———16-00 管理体系检查表(空表).doc
2024-05-30 10:22:18,208 - INFO - 正在解析“文件名”———16-01 管理体系检查表【监督再认证必查】JL-M-T-19-16-01 修改3.doc
2024-05-30 10:22:18,208 - INFO - 正在解析“文件名”———16-02 管理体系检查表【暂停恢复必查】JL-M-T-19-16-02 修改1.doc
